[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,7640855.63,12/17/2024,1:01 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC407,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,330,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,309,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 E0,OVEN_HW_VERSION
INFO,OVN325,OVEN_SERIAL_NUMBER
INFO,01.01.10,OVEN_SOFTWARE_VERSION
INFO,383,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Pb,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.93,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 34.95 mm,7640881.715,2.0182035,9.68794727325439,-7.64193786998677E-5,1.457955551283E-7,1,0.999253354069792,40.0298881530762,1.98946628395207,12.3199997469783,-0.000842384151875039,-0.000148694102195928,0.25,-6.82990800672426E-9,-7.60538828112782E-5,-3.75503315978537E-7,2.0182035,2.0182035,9.68794727325439,9.68794727325439,53.7557197815826,19.2049603705873,6.699764,0,0,0,40,4369,2.0108,9.68794727325439,,,,,,,,,,,,,0,,,,0.9866809,,,,,,2.0182035,,,,
,7640887.8,2.045676,9.68794727325439,-7.62071957199388E-5,1.969587350868E-7,1,0.999253354069792,40.0298881530762,1.98971330562743,12.3300002887845,-0.000839628600782401,-0.000151223119087309,0.25,-2.72066174694908E-7,-7.58414360294224E-5,-6.38447409843175E-7,2.045676,2.045676,9.68794727325439,9.68794727325439,53.7182016126595,19.217195903387,6.333195,0,0,0,40,4370,2.0474,9.68794727325439,,,,,,,,,,,,,0,,,,0.9965872,,,,,,2.045676,,,,
,7640888.345,2.04860795,9.68794727325439,-7.62689794440162E-5,2.12146770359201E-7,1,0.999253354069792,40.0298881530762,1.98918687060036,12.3300002887845,-0.000839984159477901,-0.000151951014152623,0.25,-3.30662650282114E-7,-7.5902641693727E-5,-6.97061751980126E-7,2.045676,2.0515399,9.68794727325439,9.68794727325439,53.2750182422556,19.2215978459293,6.333195,0,0,0,40,4370,2.05,9.68794727325439,,,,,,,,,,,,,0,,,,1.00159,,,,,,2.04860795,,,,
,7640889.36,2.0545112,9.68794727325439,-7.64112293266553E-5,2.23202073285464E-7,1,0.999253354069792,40.0298881530762,1.98894490499984,12.3300002887845,-0.000841261885410342,-0.000153302170240328,0.25,-4.29765789065934E-7,-7.60437333924763E-5,-7.96377274081775E-7,2.0515399,2.0574825,9.68794727325439,9.68794727325439,53.2562591577941,19.2208822706,6.333195,0,0,0,40,4370,2.05725,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.0545112,,,,
,7640890.29,2.0628145,9.68794727325439,-7.61863578348792E-5,2.08365181902107E-7,1,0.999253354069792,40.0298881530762,1.99100948494817,12.3199997469783,-0.000840233092604861,-0.000149498041969399,0.25,-1.10864736242632E-7,-7.58214762808199E-5,-4.77916354421953E-7,2.0574825,2.0681465,9.68794727325439,9.68794727325439,53.4477581450057,19.1976576121653,6.333195,0,0,0,40,4370,2.06835,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.0628145,,,,
,7640891.255,2.0726154,9.68794727325439,-7.64412519443027E-5,2.04765851954213E-7,1,0.999253354069792,40.0298881530762,1.99303849340719,12.3300002887845,-0.000843380081569089,-0.000152874376864573,0.25,-3.58531957725778E-7,-7.60739568819223E-5,-7.25628964772993E-7,2.0681465,2.0770843,9.68794727325439,9.68794727325439,53.1671535066018,19.1881509655146,5.966625,0,0,0,40,4370,2.0785,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.0726154,,,,
,7640892.375,2.081427,9.68794727325439,-7.61988951097433E-5,1.67510440317308E-7,1,0.999253354069792,40.0298881530762,1.99318763206254,12.3199997469783,-0.000841097415694795,-0.00015052209823317,0.25,-1.8729225497992E-7,-7.58335856309218E-5,-5.54038868371328E-7,2.0770843,2.0857697,9.68794727325439,9.68794727325439,53.6267510759095,19.1821817643831,6.333195,0,0,0,40,4370,2.085,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.081427,,,,
,7640893.37,2.08874335,9.68794727325439,-7.62423904034499E-5,1.43228793519785E-7,1,0.999253354069792,40.0298881530762,1.99117452366013,12.3300002887845,-0.000840537352713223,-0.000151774012954284,0.25,-3.06209577433914E-7,-7.58762994719359E-5,-6.72597350302903E-7,2.0857697,2.091717,9.68794727325439,9.68794727325439,52.7091191943325,19.2017303094306,6.699764,0,0,0,40,4370,2.09235,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.08874335,,,,
,7640894.36,2.09491385,9.68794727325439,-7.62664274343108E-5,1.68264198684016E-7,1,0.999253354069792,40.0298881530762,1.99065953203097,12.3300002887845,-0.000840535597862448,-0.000152123296540433,0.25,-3.37023999937446E-7,-7.59000731333985E-5,-7.03380384734636E-7,2.091717,2.0981107,9.68794727325439,9.68794727325439,53.5884512784672,19.1985198120301,6.333195,0,0,0,40,4370,2.101,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.09491385,,,,
,7640895.36,2.1028012,9.68794727325439,-7.64472902774271E-5,2.16494601818716E-7,1,0.999253354069792,40.0298881530762,1.99046895423473,12.3300002887845,-0.000842753813601859,-0.000150760124215941,0.25,-1.8276941756908E-7,-7.60808156068906E-5,-5.50736117000969E-7,2.0981107,2.1074917,9.68794727325439,9.68794727325439,52.8146390444287,19.1979065259886,6.333195,0,0,0,40,4370,2.10915,9.68794727325439,,,,,,,,,,,,,0,,,,1.0116459,,,,,,2.1028012,,,,
