[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,7635943.91,12/17/2024,11:39 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC407,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,330,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,309,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 E0,OVEN_HW_VERSION
INFO,OVN325,OVEN_SERIAL_NUMBER
INFO,01.01.10,OVEN_SOFTWARE_VERSION
INFO,383,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Pb,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.93,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,7639417.045,2.0029645,9.68794727325439,-8.08748583286122E-5,2.24433194422357E-7,1,0.999253354069792,40.0298881530762,1.98372850825913,12.3199997469783,-0.000888276415901832,-0.000161311397888969,0.25,-4.05677299416107E-7,-8.04861298057768E-5,-7.93939952266566E-7,2.0028467,2.0030823,9.68794727325439,9.68794727325439,57.1362631272561,19.3463369157103,6.333195,0,0,0,40,4369,1.9958,9.68794727325439,,,,,,,,,,,,,0,,,,0.9866809,,,,,,2.0029645,,,,
,7639423.825,2.02986385,9.68794727325439,-8.11201855821972E-5,2.2229732071911E-7,1,0.999253354069792,40.0298881530762,1.98481842426717,12.3100001364946,-0.000891879936617285,-0.00015937582856428,0.25,-1.78741050183014E-7,-8.07313799685937E-5,-5.69272646482416E-7,2.0267861,2.0329416,9.68794727325439,9.68794727325439,54.7194677457943,19.3206380274388,6.333195,0,0,0,40,4370,2.0326,9.68794727325439,,,,,,,,,,,,,0,,,,0.9866809,,,,,,2.02986385,,,,
,7639424.625,2.0376085,9.68794727325439,-8.07909798309375E-5,2.31152085164078E-7,1,0.999253354069792,40.0298881530762,1.98445792443147,12.3199997469783,-0.000888068845318845,-0.000158916790829579,0.25,-1.97585358952074E-7,-8.04036580174808E-5,-5.86438495496763E-7,2.0329416,2.0422754,9.68794727325439,9.68794727325439,56.0638687988713,19.329335244183,6.333195,0,0,0,40,4370,2.0378,9.68794727325439,,,,,,,,,,,,,0,,,,0.99163405,,,,,,2.0376085,,,,
,7639425.84,2.0461372,9.68794727325439,-8.11236909239497E-5,1.90432749507872E-7,1,0.999253354069792,40.0298881530762,1.98407098474262,12.3300002887845,-0.000891496726299883,-0.00015990286186492,0.25,-2.31256043589054E-7,-8.07346159109859E-5,-6.21553414183695E-7,2.0422754,2.049999,9.68794727325439,9.68794727325439,54.230949921275,19.3413449684212,6.699764,0,0,0,40,4370,2.0474,9.68794727325439,,,,,,,,,,,,,0,,,,0.9965872,,,,,,2.0461372,,,,
,7639427.01,2.05426515,9.68794727325439,-8.11348800284986E-5,2.00762102819756E-7,1,0.999253354069792,40.0298881530762,1.98452654231339,12.3199997469783,-0.000891860062575123,-0.000159702654347132,0.25,-2.07896976223415E-7,-8.07458645737376E-5,-5.9836004488653E-7,2.049999,2.0585313,9.68794727325439,9.68794727325439,54.4677833626019,19.3230035357851,6.333195,0,0,0,40,4370,2.0585,9.68794727325439,,,,,,,,,,,,,0,,,,1.00159,,,,,,2.05426515,,,,
,7639428.055,2.0624564,9.68794727325439,-8.0753133422701E-5,2.19335591009871E-7,1,0.999253354069792,40.0298881530762,1.98469840695763,12.3199997469783,-0.000886976006636681,-0.000163277820475356,0.25,-5.9911684439581E-7,-8.03640564184629E-5,-9.85867141309302E-7,2.0585313,2.0663815,9.68794727325439,9.68794727325439,55.1306043469097,19.324163056507,6.699764,0,0,0,40,4370,2.06865,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.0624564,,,,
,7639429.875,2.0722432,9.68794727325439,-8.12294655647127E-5,1.69451971816115E-7,1,0.999253354069792,40.0298881530762,1.98463684091993,12.3300002887845,-0.000892759482126435,-0.000160960472895116,0.25,-3.04810334363295E-7,-8.08395309920493E-5,-6.95266293571097E-7,2.0722432,2.0722432,9.68794727325439,9.68794727325439,55.8340700142174,19.3415616225263,6.699764,0,0,0,40,4370,2.0827,9.68794727325439,,,,,,,,,,,,,0,,,,0.9965872,,,,,,2.0722432,,,,
,7639430.35,2.07821645,9.68794727325439,-8.08781270136649E-5,1.79600612879167E-7,1,0.999253354069792,40.0298881530762,1.98491714403411,12.3199997469783,-0.000888813538681065,-0.000161442706255571,0.25,-4.08668269945682E-7,-8.0489371822078E-5,-7.96932423216134E-7,2.0722432,2.0841897,9.68794727325439,9.68794727325439,55.8356332712559,19.3342214913505,6.333195,0,0,0,40,4370,2.08735,9.68794727325439,,,,,,,,,,,,,0,,,,1.00159,,,,,,2.07821645,,,,
,7639431.31,2.0883677,9.68794727325439,-8.07571400762793E-5,2.03619246951348E-7,1,0.999253354069792,40.0298881530762,1.98583899343999,12.3199997469783,-0.000888472142918452,-0.000157896179649734,0.25,-1.01236167943644E-7,-8.0370447217166E-5,-4.90386822062113E-7,2.0841897,2.0925457,9.68794727325439,9.68794727325439,56.5617661656214,19.3290775916014,6.699764,0,0,0,40,4370,2.094,9.68794727325439,,,,,,,,,,,,,0,,,,1.00159,,,,,,2.0883677,,,,
,7639433.25,2.1022823,9.68794727325439,-8.08918518453882E-5,1.89819824323046E-7,1,0.999253354069792,40.0298881530762,1.98693762150818,12.3199997469783,-0.00088987911048711,-0.000161326050324169,0.25,-3.81437662111442E-7,-8.05031634560989E-5,-7.69898269609688E-7,2.0979457,2.1066189,9.68794727325439,9.68794727325439,54.8171713106981,19.2933869766606,6.333195,0,0,0,40,4370,2.108,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.1022823,,,,
,7639433.805,2.1111418,9.68794727325439,-8.10088836881604E-5,1.62682256979588E-7,1,0.999253354069792,40.0298881530762,1.9869420783244,12.3199997469783,-0.000891363482977609,-0.000160454417907395,0.25,-2.8159200839276E-7,-8.06201177377868E-5,-6.71094761635628E-7,2.1066189,2.1156647,9.68794727325439,9.68794727325439,54.9109667330058,19.3077215495784,6.699764,0,0,0,40,4370,2.11285,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.1111418,,,,
,7639434.815,2.1156647,9.68794727325439,-8.09960786249589E-5,2.27536628660142E-7,1,0.999253354069792,40.0298881530762,1.98597904849002,12.3300002887845,-0.000890347690740908,-0.000162982572496866,0.25,-5.2030923499134E-7,-8.0606222352204E-5,-9.08608595820152E-7,2.1156647,2.1156647,9.68794727325439,9.68794727325439,55.6879054811213,19.3174538810876,6.333195,0,0,0,40,4370,2.12295,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.1156647,,,,
,7639435.9,2.1251187,9.68794727325439,-8.07630166685299E-5,1.9831437927722E-7,1,0.999253354069792,40.0298881530762,1.98590694953973,12.3199997469783,-0.000888019391452589,-0.000161009783375456,0.25,-3.82668849524862E-7,-8.03749394545447E-5,-7.70501978240189E-7,2.1156647,2.1345727,9.68794727325439,9.68794727325439,54.8617241362943,19.3123300361241,6.333195,0,0,0,40,4370,2.1324,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.1251187,,,,
,7639436.905,2.13831675,9.68794727325439,-8.10632034895408E-5,1.94532938222512E-7,1,0.999253354069792,40.0298881530762,1.98529517479605,12.3199997469783,-0.000891304604597998,-0.000160166275977184,0.25,-2.57329237952457E-7,-8.06742960026865E-5,-6.47210112689189E-7,2.1345727,2.1420608,9.68794727325439,9.68794727325439,55.1454552887751,19.3206592568159,6.333195,0,0,0,40,4370,2.13865,9.68794727325439,,,,,,,,,,,,,0,,,,1.0065928,,,,,,2.13831675,,,,
,7639437.905,2.1451507,9.68794727325439,-8.1264154512403E-5,1.86919760531964E-7,1,0.999253354069792,40.0298881530762,1.98650849881535,12.3199997469783,-0.000893970232434784,-0.000161018894785437,0.25,-2.90864739932536E-7,-8.08741245159564E-5,-6.81554784306984E-7,2.1420608,2.1482406,9.68794727325439,9.68794727325439,55.0962126920635,19.304626997943,6.699764,0,0,0,40,4370,2.14625,9.68794727325439,,,,,,,,,,,,,0,,,,1.0116459,,,,,,2.1451507,,,,
,7639439.07,2.1523056,9.68794727325439,-8.08751816908964E-5,1.77063543525104E-7,1,0.999253354069792,40.0298881530762,1.98654071325414,12.3199997469783,-0.000889533238895888,-0.000161224020035729,0.25,-3.77897144228331E-7,-8.04865922578773E-5,-7.66294274296584E-7,2.1482406,2.1563706,9.68794727325439,9.68794727325439,55.7254236500444,19.306520176208,6.333195,0,0,0,40,4370,2.15735,9.68794727325439,,,,,,,,,,,,,0,,,,1.016699,,,,,,2.1523056,,,,
,7639440.205,2.16059685,9.68794727325439,-8.0814723197371E-5,2.16867257735592E-7,1,0.999253354069792,40.0298881530762,1.98617425932513,12.3300002887845,-0.000888598257138895,-0.000161720646985617,0.25,-4.36259975888096E-7,-8.04261416559948E-5,-8.2408630483943E-7,2.1563706,2.1648231,9.68794727325439,9.68794727325439,54.9305074459866,19.3235588164151,6.333195,0,0,0,40,4370,2.1678,9.68794727325439,,,,,,,,,,,,,0,,,,1.02180275,,,,,,2.16059685,,,,
,7639441.19,2.16922665,9.68794727325439,-8.10322480969811E-5,2.25275290956031E-7,1,0.999253354069792,40.0298881530762,1.98633941454603,12.3199997469783,-0.000891257644566999,-0.000161051940803613,0.25,-3.35966344396034E-7,-8.06431105541318E-5,-7.25321814539041E-7,2.1648231,2.1736302,9.68794727325439,9.68794727325439,54.8054468829097,19.3090716992257,6.333195,0,0,0,40,4370,2.1752,9.68794727325439,,,,,,,,,,,,,0,,,,1.02180275,,,,,,2.16922665,,,,
,7639442.095,2.1775919,9.68794727325439,-8.06797204720225E-5,2.24966118301387E-7,1,0.999253354069792,40.0298881530762,1.98572874961851,12.3300002887845,-0.000887441401797001,-0.00015848526381386,0.25,-1.69188190009365E-7,-8.0293073821455E-5,-5.57640372126345E-7,2.1736302,2.1815536,9.68794727325439,9.68794727325439,54.6553742072173,19.3106894531054,6.333195,0,0,0,40,4370,2.1819,9.68794727325439,,,,,,,,,,,,,0,,,,1.02180275,,,,,,2.1775919,,,,
,7639443.195,2.1857232,9.68794727325439,-8.09174711976102E-5,2.19503628651679E-7,1,0.999253354069792,40.0298881530762,1.98605377298663,12.3100001364946,-0.000889865951436676,-0.000160843839138541,0.25,-3.39310403075566E-7,-8.05288671029384E-5,-7.28096114928239E-7,2.1815536,2.1898928,9.68794727325439,9.68794727325439,54.4974852463327,19.3103992906371,6.333195,0,0,0,40,4370,2.1927,9.68794727325439,,,,,,,,,,,,,0,,,,1.0269065,,,,,,2.1857232,,,,
,7639444.27,2.1945697,9.68794727325439,-8.0947523734176E-5,2.21018741073484E-7,1,0.999253354069792,40.0298881530762,1.98542175280948,12.3199997469783,-0.000889798114823929,-0.000161583484337227,0.25,-4.05667076801572E-7,-8.05584561328897E-5,-7.94280455197876E-7,2.1898928,2.1992466,9.68794727325439,9.68794727325439,55.6832157100059,19.3121625772847,6.333195,0,0,0,40,4370,2.2006,9.68794727325439,,,,,,,,,,,,,0,,,,1.0320615,,,,,,2.1945697,,,,
,7639445.21,2.203552,9.68794727325439,-8.09125956972246E-5,2.21727661684757E-7,1,0.999253354069792,40.0298881530762,1.98604915810142,12.3199997469783,-0.000889748627702152,-0.000161183781009355,0.25,-3.71091625186532E-7,-8.05238623201517E-5,-7.59701835308621E-7,2.1992466,2.2078574,9.68794727325439,9.68794727325439,55.4690494957366,19.3067326472903,6.699764,0,0,0,40,4370,2.20725,9.68794727325439,,,,,,,,,,,,,0,,,,1.0320615,,,,,,2.203552,,,,
,7639446.315,2.2121756,9.68794727325439,-8.12432493819849E-5,1.69828537747801E-7,1,0.999253354069792,40.0298881530762,1.98504458761823,12.3300002887845,-0.000892825503113537,-0.000162494470433275,0.25,-4.38968304923094E-7,-8.08526076083198E-5,-8.28849245314672E-7,2.2078574,2.2164938,9.68794727325439,9.68794727325439,53.7987093501403,19.3232206465268,6.699764,0,0,0,40,4370,2.2174,9.68794727325439,,,,,,,,,,,,,0,,,,1.0269065,,,,,,2.2121756,,,,
,7639447.555,2.2193303,9.68794727325439,-8.10384515898438E-5,1.90117930344052E-7,1,0.999253354069792,40.0298881530762,1.98625236881802,12.3199997469783,-0.000891031888522687,-0.000162513224942712,0.25,-4.68248982144929E-7,-8.06486482269726E-5,-8.57001796004591E-7,2.2164938,2.2221668,9.68794727325439,9.68794727325439,55.6550770833136,19.299157317876,6.699764,0,0,0,40,4370,2.22755,9.68794727325439,,,,,,,,,,,,,0,,,,1.0320615,,,,,,2.2193303,,,,
,7639448.685,2.22622465,9.68794727325439,-8.1321434810065E-5,2.10993173852079E-7,1,0.999253354069792,40.0298881530762,1.98545201813318,12.3100001364946,-0.000893843030231042,-0.000162775549589189,0.25,-4.47835069923609E-7,-8.09303769325747E-5,-8.38050840281457E-7,2.2221668,2.2302825,9.68794727325439,9.68794727325439,54.9070585904097,19.3174939508863,6.333195,0,0,0,40,4370,2.2351,9.68794727325439,,,,,,,,,,,,,0,,,,1.04242335,,,,,,2.22622465,,,,
